Song_title,Release_year,Duration_in_seconds,artist_name,Playlist_name,processed_lyrics
exes,2023,159,Tate McRae,Today’s Top Hits,​exes sorry sorry love changed mind like origami sorry sorry love changed mind like origami kisses exes give shit kisses kisses next ones think live without make break swear theyll never call still keep number necklace kisses exes happens еvery time mean mеan cold thats get pride tryna burn every damn bridge time wild ride never stops hard case unlock swear care lot enough lets say kisses exes give shit kisses kisses next ones think live without make break swear theyll never call still keep number necklace kisses exes might also like sorry sorry love changed mind like origami sorry sorry love changed mind like ori— say say go leave make another promise keep ever want thats want well blame breakin starts makin head overshare things never meant wild ride never stops hard case unlock swear care lot enough lets say kisses exes give shit kisses kisses next ones think live without make break swear theyll never call still keep number necklace kisses exes sorry sorry love changed mind like origami sorry sorry love changed mind like origami kisses exes dirty little messed little selfish married thirty hooked broke said really hurt still number necklace kisses exes5embed
vampire,2023,219,Olivia Rodrigo,Today’s Top Hits,​vampire hate give satisfaction asking hows castle built people pretend care wanted look cool guy see parties diamonds sometimes close eyes six months torture sold forbidden paradise loved truly laugh stupidity cause made real big mistakes make worst one look fine shouldve known strange come night used think smart made look naive way sold parts sunk teeth bloodsucker fame fucker bleedin dry like goddamn vampire every girl ever talked told bad bad news called crazy god hate way called crazy convincing lie without flinching mesmerizing paralyzing fucked little thrill figure god knows never went cause girls age better might also like made real big mistakes make worst one look fine shouldve known strange come night used think smart made look naive way sold parts sunk teeth bloodsucker fame fucker bleedin dry like goddamn vampire said true love wouldnt hard love anyone cause would mean heart tried help cause thinks kind thing never understand made real big mistakes make worst one look fine shouldve known strange come night used think smart made look naive way sold parts sunk teeth bloodsucker fame fucker bleedin dry like goddamn vampire32embed
Cruel Summer,2019,178,Taylor Swift,Today’s Top Hits,summer fever dream high quiet night caught bad bad boy shiny toy price bought killing slow window always waiting waiting devils roll dice angels roll eyes doesnt kill makes want new shape body blue feeling woahoh cruel summer cool thats tell rules breakable heaven woahoh cruel summer hang head low glow vending machine dying say well screw trying times trying might also like cut headlights summers knife always waiting cut bone devils roll dice angels roll eyes bleed youll last new shape body blue feeling woahoh cruel summer cool thats tell rules breakable heaven woahoh cruel summer drunk back car cried like baby comin home bar said fine wasnt true keep secrets keep snuck garden gate every night summer seal fate scream whatever worth love worst thing ever heard looks grinnin like devil new shape body blue feeling woahoh cruel summer cool thats tell rules breakable heaven woahoh cruel summer drunk back car cried like baby comin home bar said fine wasnt true keep secrets keep snuck garden gate every night summer seal fate scream whatever worth love worst thing ever heard 103embed
My Love Mine All Mine,2023,137,Mitski,Today’s Top Hits,love mine mine moon hole light big top tent high shinin moon tell could send heart die must could shine cause love mine mine love mine nothing world belongs love mine mine mine baby earth showed heart worth comes turn could shine cause love mine mine love mine nothing world belongs love mine mine nothing world mine free love mine mine mineyou might also like12embed
Stick Season,2022,182,Noah Kahan,Today’s Top Hits,season promised miles combined mustve change heart like halfway drive voice trailed exactly passed exit sign kept drivin straight left future right stuck anger blame face memories somethin even smoking weed replace terrified weather cause see rains doc told travel covid planes love vermont season sticks saw mom forgot existed half fault like play victim drink alcohol til friends come home christmas dream night version might lose tire tracks one pair shoes split half thatll thought piled something good bad could cancel darkness inherited dad longer funny cause miss way laugh called forever still call back might also like love vermont season sticks saw mom forgot existed half fault like play victim drink alcohol til friends come home christmas dream night version might lose tire tracks one pair shoes split half thatll thatll half hope pains passin doubt love vermont season sticks saw mom forgot existed half fault like play victim drink alcohol til friends come home christmas dream night version might lose tire tracks one pair shoes split half thatll do6embed
Lose Control,2023,210,Teddy Swims,Today’s Top Hits,control somethings hold lately anymore feels like walls closin devils knockin door woah mind many times tell good bein alone taken toll tryin best keep tearin skin bones lose control next fallin apart right front see lose control next mhm breakin heart baby make mess problematic problem want body like fiend like bad habit bad habits hard break want real full moon writin magic man takes two problematic problem addict need relief skin teeth see forest trees knees darlin please might also like lose control next fallin apart right front see lose control next breakin heart baby make mess lose control fallin apart right front see lose control mhm breakin heart baby make mess meembed
Kill Bill,2022,153,SZA,Today’s Top Hits,ිංහලελληνικάрусскийbahasa indonesiafrançaiskill bill still fan even though salty hate see broad happy hate see happy one drivin mature mature mature therapist tell men want none want one might might kill ex best idea new girlfriends next howd get might kill ex still love though rather jail alone get sense lost cause get sense might really love text evidence text evidence tried ration murders crime passion damn reach farmers market perfect peach basement plannin home invasion layin facedown singin beat might also like mature mature mature therapist tell men want none want one might might kill ex best idea new girlfriends next howd get might kill ex still love though rather jail alone love drugs sober us love drugs sober us killed ex best idea killed girlfriend next howd get killed ex still love though rather hell alone73embed
fukumean,2023,125,Gunna,Today’s Top Hits,​fukumean fuck mean young gunna wunna back callin splurge watch jump right curb bentley spur fly like bird spin first third solid keepin word equal heard crank foreign swerve keep stick purge ha ha ha ha ha ha ha ha fuck mean young gunna wunna workin nerves pour syrup fucking bitch like perv smack back grab perm ice berg shittin turds take dick wait turn lane merge suck hands learn lets see much earn watch go big likе worm smokin sherm bitch liity qp qpski bitches prеtty showin titties ceilin let run million rock really lets fuck billion get gritty fuck city home villains ecstasy wonderful feelin smoke pound chillin trappin made killin look everybody wishin hope play position want nobody listenin see precision get rich decision might also like fuck mean young gunna wunna back callin splurge watch jump right curb bentley spur fly like bird spin first third solid keepin word equal heard crank foreign swerve keep stick purge fuck mean fuck mean yeah8embed
Chemical,2023,184,Post Malone,Today’s Top Hits,oxytocin makin okay come back doesnt feel sittin round waitin world end day cause couldnt leave tried break break rules last time last time fucked still outside party smokin car sevennation army fightin bar tell sorry tell cause let go chemical let go chemical every time ready make change turn around fuck brains tryna fight fate late save face get away maybe mistakes break break rules last time last time fucked still still might also like outside party smokin car sevennation army fightin bar tell sorry tell cause let go chemical let go chemical let go chemical let go chemical ahahah ahahah ahahah tell sorry tell let go chemical8embed
TOO MUCH,2023,203,The Kid LAROI,Today’s Top Hits,much chance time spend would would much much ayy callin friends cause gone back around would much ayy much ayy tell way thought good changed sayin sorry could never get way hit store wardrobes replaced still complain keep throwin back face tellin need space layin bed tripped shrooms dead without realizin addicted come right baby relax cool sayin hit back move brain one else let love way never knew might also like chance time spend would would much much ayy callin friends cause gone back around would much ayy much ayy much doin much understand slang get sense humor girlfriends tell fuckin round would believe told lyin thats rumor send personal driver man uber serious stay mine bring toothbrush extra panties bag makeup removers hardly cause stay shooter call daddy issues father hop boat jet leave yacht harbor injectin ozempic tryna stop hunger huh wanked came fuck longer s650 chauffeur driven tap address pack bags board next flight check make sure check forgot antidepressants fly make regret time pour lets take one head top almost crashed cause lookin texts back forth mad shit never said double text reply knowin read sayin hit back move brain one else let love way never knew chance time spend would would much much ayy callin friends cause gone back around would much ayy much ayy much much much much2embed
