Song_title,Release_year,Duration_in_seconds,artist_name,Playlist_name,processed_lyrics
Treasure In The Hills,2023,189,Leon Thomas,RNB X,contributorstreasure hills play rules ld rather something naughty lets find room woah inside party hunt found want found want found treasure hills found treasure hills found treasure hills found treasure hills chase diamonds gold trying find soul chase diamonds gold trying find soul live alone shadow lets change lets take tomorrow hunt found want found want might also like found treasure hills found treasure hills found treasure hills found treasure hills chase diamonds gold trying find soul chase diamonds gold trying find soulembed
Moonlight,2023,160,Arin Ray,RNB X,contributorsmoonlight alright alright alright alright alright alright alright alright alright alright drank keep dripped stuck bent back see stuck moonlight moonlight bayside new vibes vibes late night said watch things friends think cool drank keep dripped stuck bent back see stuck damn wildin wildin quiet private want silence clothes stylist lets somethin make top five switchin positions go feelin act baby throw back back back back back back might also like moonlight moonlight bayside new vibes vibes late night said watch things friends think cool drank keep dripped stuck taste could switch stuck put ass go see fuckin show baby freak see came panties turn cameras like visuals like intentional like like like like switchin positions go feelin act baby throw back back back back back back meembed
One Of Them Days (feat. Monica),2023,155,Queen Naija,RNB X,contributorsone days oohoohooh oohoohooh still sittin driveway place feel clear mind lately feelin like need way need break away spend time may seem like changin always selfless sounds like need selfish never really selfish please take personal one days need pressure feelin good health wasnt plan hope understand one days one days think recognize voice disrespect way thankin havin back playin like attack real one ten toes never felt type pain til let miss takin everything cryin one days decided time selfish sacrifice selfless doin play games swear never thought id see change lanes grew hair take personal might also like one days need pressure feelin good health wasnt plan hope understand one days one days nah nah nahnahnahnah one days one days one days one days woah nadadadaembed
Go Baby,2023,236,Cleo Sol,RNB X,contributorsgo baby go baby go baby go baby hope god forgives sins sins sins sins go baby go baby go baby keep moving even though go baby go baby go baby hope god forgives sins sins sins sins go baby go baby go baby keep moving even though lost hope still looking friend grow face whats inside hope never stop trying go baby go baby go baby hope god forgives sins sins sins sins go baby go baby go baby keep moving even though herе go baby go baby go baby hope god forgivеs sins sins sins sins go baby go baby go baby keep moving even though might also like love need special love need special love need special love need special go baby go baby go baby hope god forgives sinsembed
Waterfall (I Adore You),2023,292,Yebba,RNB X,contributorswaterfall deep mind even inner critic still mystic unrefined raw uncut like prisms bending time time mirrors break multiply fuck say feelings subside obsessions fade time remains love whatever make tonight mention pride fall say writings wall baby adore adore baby adorе might also like find couple threads thеy run head mattress spins axis heavy lead pressing cross necklace chest mirrors break multiply obsessions fade time say feelings subside remains love whatever make tonight mention pride fall say writings wall baby adore adore baby adore 2embed
Be My Summer,2023,186,Snoh Aalegra,RNB X,contributorsbe summer summer protect rain summer protect rain summer protect rain summer protect tried run away escape taken tenure heart change feel tried movin right left naked walls place met theyre dressed mamas poetry oceans away fell deep didnt sure lies ahead us summer protect rain summer protect rain summer protect rain summer protect might also like driftin castaway like waves get way leave lost come show feel runnin time see fall walls built scare stop withdrawals let tried couldnt forget didnt sure lies ahead us summer protect rain summer protect rain summer protect rain summer protect me2embed
R e s e n t m e n t,2023,224,PARTYNEXTDOOR,RNB X,go still runnin problems turned runnin man soon faces drama keep bringin past keep turnin back wont keep standin goin mind stayin past five get checked respects need get resent woah woah respect hard get even attempt figure doubt run doubt run doubt doubt run domino look domino effect thats happenin thinkin gettin even even inspired get low waitin baby wont keep bringin past wont keep tryna run back might also like wont keep standin goin mind stayin past five get checked respects need get resent woah woah respect hard get even attempt figure doubt run better better anyone doubt run doubt doubt run2embed
Moment Of Your Life (feat. Coco Jones),2023,194,Brent Faiyaz,RNB X,life lookin better ever told secret would spread shit every girl meet would shit tastes fresher peppermint want kiss hesitant kissing back like every thing need want wantin tonight make moment life every thing need want wantin tonight make moment life tonight baby boy lookin better evеr show secrets handle hidе always good girl bad side show baby guarantee wont forget want taste want whole damn thing fight feel feel right night baby might also like every thing need want wantin tonight make moment life every thing need want wantin tonight make moment life right nothing like boy right like stay night mind try stay night boy mind like stay night every thing need want wantin tonight make moment life every thing need want wantin tonight make moment lifeembed
2000s R&B,2023,223,Kenyon Dixon,RNB X,contributors2000s rb ran yesterday couldnt even take thought much say better save feel kind way left help remember things said said wed forever ever ever guess went found somebody better everything together tellin didnt mean anything break heart leave walk away take every part thought somethin special baby honestly since left singin 2000s rb fuckin rain like wish never met damn wish never met shouldve never let close wish never met one wish wish didnt love like might also like real baby pictures still phone let go since gone texts photos really hate bein alone want wont act like care wish comin home said wed forever ever ever guess went found somebody better everything together tellin didnt mean anything break heart leave walk away take every part thought somethin special baby honestly since left singin 2000s rb fuckin rain wish never met damn wish never met shouldve never wish never met one wish wish didnt love like girl gave everything really tried best make last wasnt enough loves losin game still play chance get back guess well never let go whyd break heart break heart leave walk away take every part thought somethin special baby honestly since left singin 2000s rb fuckin rain like wish never met damn wish never met shouldve never let close wish never met one wish wish didnt love like wish wish wish never met wish wish wish never met wish wish wish never met wish wish wish never met wish wish wish never met herembed
Need Somebody (feat. Jazmine Sullivan),2023,258,Diddy,RNB X,12 contributorsneed somebody break piece lets clear tell wont ask speak fore alone alone tonight cause everybody needs somebody even one night cause everybody needs somebody even shit right cause everybody needs somebody even one night cause everybody needs somebody needs somebody needs somebody come bedroom want dead wrong lets want come bedroom want dead wrong still lets want might also like lets go grown grown feels feelin somebody natural thing cause bodys thing shouldnt ashamed ones blame shouldnt ashamed come bedroom want dead wrong lets want come bedroom want dead wrong still lets want cause everybody needs somebody even one night cause everybody needs somebody even shit right cause everybody needs somebody even one night cause everybody needs somebody needs somebody needs somebody everybody needs tryna fall love tryna tryna fall love baby cause everybody needs need feels right right right would grid situations mind blowing intention make woman feel incredible like incredible amusement park ride love um lets get deep lets watch sunrise lets watch sunset lets make rise lets go hard could go enjoy time together1embed
Only Have Eyes 42,2023,170,Janelle Monáe,RNB X,14 contributorsonly eyes 42 like love eyes closed try lead ego everything happened slomo smiled said alright cause one one double fun triple time love one one suck words tongue thats knew eyes two eyes two remember sipped glass bit neck liked said things take back happy open cause one one double fun triple time love cause one one suck words tongue thats knew might also like eyes two eyes two eyes eyes two two eyes said eyes said eyesembed
Alright,2023,173,Victoria Monét,RNB X,12 contributorsalright gave dick bed think dick embedded leave text read let read makin feel way forte really might even hit city thought get foreplay wont even get picture 4k titties shit tonight one hip tonight plus feelin lifes alright alright shit tonight one hip tonight plus feelin lifes alright alright alright alright alright alright alright alright might also like think touched soul back solo might call hoe like call immortal makin feel way forte really might even hit city thought get foreplay wont even get picture 4k titties shit tonight one hip tonight plus feelin lifes alright alright shit tonight one hip tonight plus feelin lifes alright alright alright alright alright alright alright alright tonight tonight tonight alright alright tonight tonight tonight alright alright tonight tonight tonight alright alright tonight tonight tonight alright alright tonight tonight tonight alright alright1embed
"It’s Not Me, It’s You (feat. Destin Conrad)",2023,225,Mahalia,RNB X,contributorsit babe crazy penny times man nearly made crazy well heck id millionaire maybe even early baby classroom break time kiss chase playground hoping picks heads thumbs show love change grow physical still love men always love chase still kiss run away nothing changed always bе blame long pretеnd one whos improve saying well news long pretend one whos improve saying well news might also like yes boy figured time beat around bush bringin true really started every fight always right used lies set free learned see clearly whats right wrong fooled nearly nice movin one blame long pretend one whos improve saying well news long pretend one whos improve saying well news crazy lucked found makin seem like really tryna play ayy like wasnt one blew flame like smokin gun let made clear wasnt issue baby shit deal promise feel way probably cause one blame long pretend one whos improve saying well news long pretend one whos improve saying well news youembed
Crash & Burn,2023,147,Leon Thomas,RNB X,10 contributorscrash burn hes never left please leave remember lived life thats full pour heart bar stools woke recollection way regrets even mention cali crowded think move thinkin life mississippi could smooth bitches post hashtag old shit different handbag might get high 405 crash burn feel somethin could die feel alive live sky feel nothin crash burn crash burn crash burn crash burn hate dub hеr one favoritеs tried thug kept testin patience sent back city couldnt take blessings go whyd made leave alone always run phone twentythree actin age huh ironic bad vibes sage huh wish couldve liability liability tried silly cause liability liability might also like might get high 405 crash burn feel somethin could die feel alive live sky feel nothin crash burn crash burn crash burn crash burn1embed
That's On You (feat. Future),2023,263,Chris Brown,RNB X,12 contributorsthat plutoski breezy shit bigger youtube bad bitches dressed coucoo pop pop star somethin oughta get used actin strange actin like stranger bodies bodies bodies dangerous lost way knew shit wasnt addin actin different every time never thought youd let lame change way move cool shit baby thats stop actin shy girl lets handle straight entertainin situation fuck way actin real iffy blow back circle back round bed girl ass came back atlanta girl cash makin plans windowshoppin shit basic came oasis girl planned next vacation hate love get dangerous timeline actin brand new body like tattoo fire girl blame must crazy might also like lost way knew shit wasnt addin actin different every time never thought youd let lame change way move cool shit baby thats havin options throwin parties every day pretty moroccan throwin parties every day put lock cartier cartier ballin ballin nba pull coupe train doin chacha booked vacation go outta rockstar fully loaded brabus want doin random shoppin sprees international window shoppin basics little things make contagious lace every day crave foreign location good gracious fishtailin burnin tires ghini made movie poppin bottles genie every time see call fettuccine put every time see lost way knew shit wasnt addin actin different every time never thought youd let lame change way move cool shit baby thats tellin love every time finish fuckin mixin signals fucked around went wrong way baby player pussy talkin confessions tryna treat like criminal make easy like play game different options girl face came oasis girl planned next vacation hate love get dangerous timeline actin brand new body like tattoo fire girl blame must crazy lost way knew shit wasnt addin actin different every time never thought youd let lame change way move cool shit baby thats lost way knew shit wasnt addin actin different every time never thought youd let lame change way move cool shit baby thats you1embed
WY@,2023,207,Brent Faiyaz,RNB X,shit really shouldnt real thats always tell come real time real shit really shouldnt real thats always tell come real time real even good feel good every time come back try leave end back want something else something good health searching get help feel like shit really shouldnt real thats always tell come real time real time real shit really shouldnt real thats always tell come real time real time real might also like feel walls closing feel stuck claws try run get far put blame tryna take accountability take ability death remedy much shit really shouldnt real thats always tell come real time real time real shit really shouldnt real thats always tell come real time real time realembed
When It Comes To You,2023,168,Fridayy,RNB X,13 contributorswhen comes done gave heart fell deep end came life sinkin type time demons time outside creepin love first sight girl walked couldnt look deep eyes cause id get locked hurtin deep inside broken side didnt notice ohohoh wont waste time wont waste time comes put pride aside give put pride aside girl wont waste time wont waste time comes put pride aside give put pride aside give pullin fast 223 bust rounds eyes feelin like pac get caught lies truth id risk ask playin heart cause thats much lose puttin wall bulletproof done mud nothin prove tryna open mind see clearer view times made wait side didnt notice might also like ohohoh wont waste time wont waste time comes put pride aside give put pride aside girl wont waste time wont waste time comes put pride aside give put pride aside give wont waste time wont waste time comes put pride aside give put pride aside give wont waste time wont waste time comes put pride aside give comes toembed
Greatest Gift (feat. Lila Iké),2023,192,Jorja Smith,RNB X,gift greatest gift found time everything make proud lot unfold never give surely love worth promise make sure youll never fall far grace hope nevеr far purpose hope recеive wherever thankful still right realest love still ride even wickedest times feel feel right hard feels still right sweetest thing known wish could shield lows life look far grown little wings would carry home home might also like surely love worth promise make sure youll never fall far grace hope never far purpose hope receive wherever thankful still right realest love still ride even wickedest times feel feel right hard feels still right cause greatest gift meant suh tap inna yuhself identity take time tell roughest toughest weve struggles nuh nuttin built take time still right realest love still ride even wickedest times feel feel right hard feels still right hereembed
How Does It Make You Feel,2023,216,Victoria Monét,RNB X,13 contributorshow make feel hear tone see eyes feel bones design god giving signs world aligned always love compromise deeper seas higher sky til nothin left youll right rain shine forever mine make feel make feel make feel loved real hear tone see eyes feel bones design god giving signs world aligned might also like like sand always shore deal hand couldnt love saying yes like million times rain shine forever mine make feel make feel make feel loved real ah make feel make feel make feel loved realembed
Love Language,2022,183,SZA,RNB X,language said patience virtue done wasted plenty time pacin around hate coupe bitches side let mind wonder relentless need rent text like waiting come lie ruin day sayin shit hurt compete still way lay awake around still gone needin talk love language show connect help understand speak love language bad get program sex hittin like slow jam stick around cause want bad keep focused remind imperfect sucks admit nobody put purpose like still nobody get work like nobody get truth quite like definition right hand never mind ridin backseat lead might also like talk love language show connect help understand speak love language call like suppress memories call like confessions queued like last bitch lookin chewed baby call like regret missin old thing back call difference chickens without live go alone mirrors inside recognize please deny me2embed
Stay Long (feat. Summer Walker),2023,145,Diddy,RNB X,11 contributorsstay long ohwoahoh mmmm like never get like move like move make complicated sayin need give boy sex fiendin searchin far always feelin right phone night even really time exciting knowing lyin pull drop top make sure tints want nobody business hope stay long hope stay long swingin low make sing along hope stay long hopе stay long swingin low make sing along thе bed like shoodeedodeedo like sneaky link babe dreamin day wait see face time tryna figure lies tryna keep lies leave sneaky link drinkin thinkin finna take ass home mornin ohyou might also likeembed
Big Steppa,2023,176,Amaarae,RNB X,contributorsbig steppa desert like auctioned see pressure option one hate wavy war big hottie say touch talk never asked want love like say need baby take home ways gone make break rules big steppa make room come get body pressure pay fee waiver waiver baby big steppa make room come get body pressure pay fee waiver waiver might also like show love made give time take must break heart oo must spend cash oo like like oo bring baby back oo never asked want love like say need baby take home ways gone make break rules big steppa make room come get body pressure pay fee waiver waiver baby big steppa make room come get body pressure pay fee waiver waiver show love made give time take big steppaembed
Rhythm & Blues,2023,144,Ayra Starr,RNB X,contributorsrhythm blues illuminate ohoh ohoh butterfly belly givin energy dey lose composure losin control givin need everythin wey carry body even water carry bebe fit revise oreke rhythm blues heart beat rhythm monday sunday say gold silver everythin go bebe rhythm blues heart beat rhythm monday sunday say gold everythin go bebe jigga muse everythin bebe rhythm blues many tings dey nobody like jigga muse everythin bebe rhythm blues many tings dey nobody like might also like fit carry play fit lose carry love put get money money two cover retina come personal person forgeti chidera ini blessing guys done teach lesson say wey dey stress personal person jigga muse everythin bebe rhythm blues many tings dey nobody like jigga muse everythin bebe eh rhythm blues many tings dey nobody like carry head shoulder waka knees toes dey high sober nobody like carry head shoulder waka knees toes dey high sober nobody like bebe ohohoh nobody like baby nobody like yeahembed
Desire,2023,293,Cleo Sol,RNB X,contributorsdesire wonder changed life made things right stood side like lullaby soothed mind helped smile opened eyes love guidance love eyes plastic world lovin makes feel real life desire wondering desire wonder share lives desire wonder youll stay side desire time together vibrate high want feel deep inside might also like love guidance love eyes plastic world lovin makes feel real life desire wondering desire wonder share lives desire wonder youll stay side desire life desire wondering desire wonder share lives desire wonder youll stay side desire life desire life desire life desireembed
Luv Songs (Unruly),2023,175,PHABO,RNB X,contributorsluv songs singing love songs waiting since rainy friday trying get water wet slide way bluffing weeks time show sending pictures make movie oohwee take shot bangin probably fortunate like bubble gum popping tub jets finally sex made overflow tell reassure feelings run deep thats probably deep water getting hotter wading wit ease water crashing parting sea make act unruly make talk back singin lovе songs singin love songs make act unruly makе talk back singin love songs singin singin might also like deep deep cool women love look amazing hoes basic like two piece player bride okay lets lose focus need buss open get shit closes turn fan sheets soaked men like speak like actions lead said much pulling tell reassure feelings run deep thats probably deep water getting hotter wading wit ease water crashing parting sea make act unruly make talk back singin love songs singin love songs make act unruly make talk back singin love songs singin singin me1embed
Highway to Hell,1979,208,AC/DC,Rock Classics,98 contributorshighway hell livin easy lovin free season ticket one way ride askin nothin leave takin everythin stride need reason need rhyme nothin rather goin party time friends highway hell highway hell highway hell highway hell stop signs speed limit nobodys slow like wheel spin nobodys mess around satan payin dues playin rocking band mama look way promised land woo might also like highway hell highway hell highway hell highway hell mmm stop ehh ehh oww highway hell highway hell highway hell highway hell highway hell highway hell highway hell highway hell goin way wow highway hell51embed
Everlong,1997,250,Foo Fighters,Rock Classics,hello waited everlong tonight throw red head sang come waste away slow wanted head head sang wonder sing along everything could ever feel real forever anything could ever good thing ever ask promise stop say sang breathe breathe hold always head head sang might also like wonder sing along everything could ever feel real forever anything could ever good thing ever ask promise stop say sang wonder everything could ever feel real forever anything could ever good thing ever ask promise stop say when127embed
Sweet Child O' Mine,1987,356,Guns N' Roses,Rock Classics,112 contributorssweet child mine shes smile seems reminds childhood memories everything fresh bright blue sky see face takes away special place stared long id probably break cry woahwoahwoah sweet child mine woah ohohoh sweet love mine shes eyes bluest skies thought rain id hate look eyes see ounce pain hair reminds warm safe place child id hide pray thunder rain quietly pass might also like woahohwoah sweet child mine oohwoah ohohoh sweet love mine ohohyeah woah ohohoh sweet child mine woahoh woahoh sweet love mine woah ohohoh sweet child mine oohoohoohooh sweet love mine go go go mmmm go go go go mmhuh go ahyahyahyahyahyahyahyahoh go uhuhuh uhuhuhoh wow go ohoh go go ohohohoh go go woahoh go sweet child sweet child mine77embed
The Joker,1973,264,Steve Miller Band,Rock Classics,46 contributorsthe joker people call space cowboy call gangster love people call maurice cause speak pompatus love people talk baby say wrong wrong well worry baby worry cause right right right right home cause picker grinner lover sinner play music sun joker smoker midnight toker sure want hurt one picker grinner lover sinner play music sun joker smoker midnight toker get lovin run wooooh wooooh might also like cutest thing ever see really love peaches shake tree loveydovey loveydovey loveydovey time oee baby sure show good time cause picker grinner lover sinner play music sun joker smoker midnight toker get lovin run picker grinner lover sinner play music sun joker smoker midnight toker sure want hurt one wooooh wooooh people keep talking baby say wrong well worry worry worry mama cause right home cutest thing ever see really love peaches shake tree loveydovey loveydovey loveydovey time cmon baby show good time12embed
Dream On,1973,267,Aerosmith,Rock Classics,107 contributorsdream every time​ look mirror lines face getting clearer past gone went like dusk dawn isnt way everybodys dues life pay nobody knows comes goes everybodys sin lose win half lifes books written pages lived learned fools sages true feelings come back sing sing year sing laughter sing tear sing today maybe tomorrow good lord take away might also like sing sing year sing laughter sing tear sing today maybe tomorrow good lord take away dream dream dream dream dreams come true dream dream dream dream dreams come true dream dream dream dream dream dream dream ah sing sing year sing laughter sing tear sing today maybe tomorrow good lord take away sing sing year sing laughter sing tear sing today maybe tomorrow good lord take away105embed
Free Fallin',1989,256,Tom Petty,Rock Classics,83 contributorsfree fallin shes good girl loves mama loves jesus america shes good girl crazy elvis loves horses boyfriend long day livin reseda freeway runnin yard bad boy cause even miss bad boy breakin heart free free fallin free free fallin vampires walkin valley move west ventura boulevard bad boys standing shadows good girls home broken hearts free free fallin free free fallin might also like glide mulholland write name sky free fall nothin leave world free free fallin free free fallin free free fallin free fallin free free fallin free fallin 39embed
Zombie,1994,306,The Cranberries,Rock Classics,another head hangs lowly child slowly taken violence caused silence mistaken see family head head fightin tanks bombs bombs guns head head cryin head head zombie zombie zombieieie whats head head zombie zombie zombieieieie du du du du du du du du du du du du du du du du another mothers breakin heart takin violence causes silence must mistaken might also like old theme since 1916 head head theyre still fightin tanks bombs bombs guns head head dyin head head zombie zombie zombieieie whats head head zombie zombie zombieieieie ohohohohohohoh ehehoh rara 125embed
Creep,1993,238,Radiohead,Rock Classics,couldnt look eye like angel skin makes cry float like feather beautiful world wish special fuckin special creep weirdo hell belong care hurts control want perfect body want perfect soul want notice around fuckin special wish special might also like creep weirdo hell belong shes running door shes running run run run run run whatever makes happy whatever want fuckin special wish special creep weirdo hell belong belong here276embed
Come As You Are,1991,218,Nirvana,Rock Classics,come want friend friend old enemy take time hurry choice late take rest friend old memoria memoria memoria memoria come doused mud soaked bleach want trend friend old memoria memoria memoria memoria might also like swear gun gun gun ria memoria memoria memoria well swear gun gun gun gun gun 149embed
Have You Ever Seen The Rain,1970,160,Creedence Clearwater Revival,Rock Classics,ever seen rain someone told long ago calm storm comin time say itll rain sunny day shinin like water ever seen rain ever seen rain comin sunny day yesterday days sun cold rain hard way time til forever goes circle fast slow stop wonder ever seen rain ever seen rain comin sunny day might also like ever seen rain ever seen rain comin sunny day41embed
I Love Rock 'N Roll,1981,175,Joan Jett & the Blackhearts,Rock Classics,52 contributorsi love rock roll saw dancin record machine knew musta 17 beat goin strong playin favorite song could tell wouldnt long til could tell wouldnt long til singin love rock roll put another dime jukebox baby love rock roll come take time dance smiled asked name matter said cause said take home alone next movin next movin singin love rock roll put another dime jukebox baby love rock roll come take time dance might also like said take home alone next movin well movin singin old song singin love rock roll put another dime jukebox baby love rock roll come take time dance love rock roll put another dime jukebox baby love rock roll come take time dance love rock roll put another dime jukebox baby love rock roll come take time dance love rock roll put another dime jukebox baby love rock roll come take time dance love rock roll put another dime jukebox baby love rock roll come take time dance me14embed
